UTM33_X,UTM33_Y,exposed_bedr
208511,6640765,1
208511,6640790,1
208511,6640815,1
208511,6640840,1
208511,6640865,1
208511,6640890,1
208511,6640915,1
208511,6640940,1
208511,6640965,1
208511,6640990,1
208511,6641015,1
208511,6641040,1
208511,6641065,1
208511,6641090,1
208511,6641115,1
208511,6641140,1
208511,6641165,1
208511,6641190,1
208511,6641215,1
208511,6641240,1
208511,6641265,1
208511,6641290,1
208511,6641315,1
208511,6641340,1
208511,6641365,1
208511,6641390,1
208511,6641415,1
208511,6641440,1
208511,6641465,1
208511,6641490,1
208511,6641515,0
208511,6641540,0
208511,6641565,0
208511,6641590,0
208511,6641615,0
208511,6641640,0
208511,6641665,1
208511,6641690,1
208511,6641715,1
208511,6641740,1
208511,6641765,1
208511,6641790,1
208511,6641815,1
208511,6641840,1
208511,6641865,1
208511,6641890,1
208511,6641915,1
208511,6641940,1
208511,6641965,1
208511,6641990,0
208511,6642015,0
208511,6642040,0
208511,6642065,0
208511,6642090,0
208511,6642115,0
208511,6642140,0
208511,6642165,0
208511,6642190,0
208511,6642215,0
208511,6642240,0
208511,6642265,0
208511,6642290,0
208511,6642315,0
208511,6642340,0
208511,6642365,1
208511,6642390,1
208511,6642415,1
208511,6642440,1
208511,6642465,1
208511,6642490,1
208511,6642515,1
208511,6642540,1
208511,6642565,1
208511,6642590,1
208511,6642615,1
208511,6642640,1
208511,6642665,1
208511,6642690,1
208511,6642715,1
208511,6642740,1
208511,6642765,1
208511,6642790,1
208511,6642815,1
208511,6642840,1
208511,6642865,1
208511,6642890,1
208511,6642915,1
208511,6642940,1
208511,6642965,1
208511,6642990,1
208511,6643015,1
208511,6643040,1
208511,6643065,1
208511,6643090,1
208511,6643115,1
208511,6643140,1
208511,6643165,1
208511,6643190,1
208511,6643215,1
208511,6643240,1
208511,6643265,1
208511,6643290,1
208511,6643315,1
208511,6643340,1
208511,6643365,1
208511,6643390,1
208511,6643415,1
208511,6643440,1
208511,6643465,1
208511,6643490,1
208511,6643515,1
208511,6643540,1
208511,6643565,1
208511,6643590,1
208511,6643615,1
208511,6643640,1
208511,6643665,1
208511,6643690,1
208511,6643715,1
208511,6643740,1
208511,6643765,1
208511,6643790,1
208511,6643815,1
208511,6643840,1
208511,6643865,1
208511,6643890,1
208511,6643915,1
208511,6643940,1
208511,6643965,1
208511,6643990,1
208511,6644015,1
208511,6644040,1
208511,6644065,1
208511,6644090,1
208511,6644115,1
208511,6644140,1
208511,6644165,1
208511,6644190,1
208511,6644215,1
208511,6644240,1
208511,6644265,1
208511,6644290,1
208511,6644315,1
208511,6644340,1
208511,6644365,1
208511,6644390,1
208511,6644415,1
208511,6644440,1
208511,6644465,1
208511,6644490,1
208511,6644515,1
208511,6644540,1
208511,6644565,1
208511,6644590,1
208511,6644615,1
208511,6644640,1
208511,6644665,1
208511,6644690,1
208511,6644715,1
208511,6644740,1
208511,6644765,1
208511,6644790,1
208511,6644815,1
208511,6644840,1
208511,6644865,1
208511,6644890,1
208511,6644915,1
208511,6644940,1
208511,6644965,1
208511,6644990,1
208511,6645015,1
208511,6645040,1
208511,6645065,1
208511,6645090,1
208511,6645115,1
208511,6645140,1
208511,6645165,1
208511,6645190,1
208511,6645215,1
208511,6645240,1
208511,6645265,1
208511,6645290,1
208511,6645315,1
208511,6645340,1
208511,6645365,1
208511,6645390,1
208511,6645415,1
208511,6645440,1
208511,6645465,1
208511,6645490,1
208511,6645515,1
208511,6645540,1
208511,6645565,1
208511,6645590,1
208511,6645615,1
208511,6645640,1
208511,6645665,1
208536,6636490,1
208536,6636515,1
208536,6636540,1
208536,6636565,1
208536,6636590,1
208536,6636615,1
208536,6636640,1
208536,6636665,1
208536,6636690,1
208536,6636715,1
208536,6636740,1
208536,6636765,1
208536,6636790,1
208536,6636815,1
208536,6636840,0
208536,6636865,0
208536,6636890,1
208536,6636915,1
208536,6636940,1
208536,6636965,1
208536,6636990,1
208536,6637015,0
208536,6637040,0
208536,6637065,0
208536,6637090,0
208536,6637115,0
208536,6637140,0
